ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
297.00482,48.134129,15.943,0,1,56.0,187.4491,0.6624,0.3858,76.3,14.6,0.969,1.7822,10829.0,53.5,88.96,638.0,5853.0,4.544,-0.18,0.868,0.961,0.278,-0.021,-0.038,0.0007,0.0006,-0.025,-0.034,0.042,1.0,2455008.85,0,0,0,0,39.3,7.29555
294.31686,50.080231,16.1,0,1,36.0,94.071846,0.8482,0.398,36.9,7.51,0.911,3.362,6256.0,54.7,89.05,467.0,5446.0,4.507,-0.54,0.781,0.714,0.027,0.09,0.31,0.0006,-0.0011,-0.025,0.051,0.057,1.0,2455006.565,0,0,0,0,11.29,1.89549
293.83331,50.23035,16.11,0,2,168.0,9.1666,0.4049,0.5746,13.7,19.45,1.198,0.558,556.4,28.8,87.62,734.0,5005.0,4.595,0.14,0.765,0.85,0.058,-0.1,-1.4,0.00016,0.00075,-0.51,-0.49,0.71,2.0,2454970.755,0,0,0,0,68.63,8.66412
287.88733,46.276241,13.111,0,3,357.0,7.4337807,0.0228,0.3928,8.7,0.55,0.624,3.133,23.2,6.65,84.62,1272.0,5779.0,4.339,-0.06,1.087,0.941,0.858,-0.6,-0.3,1.2e-05,-3e-06,0.01,-0.05,0.05,3.0,2454965.662,0,0,0,0,617.61,0.47024
291.28195,38.241669,16.162,0,1,129.0,173.09894,0.5397,0.3238,183.6,7.73,0.92,3.5089,5741.1,12.776,85.87,812.0,5988.0,4.541,-0.52,0.836,0.885,0.021,-0.151,-0.099,0.0008,-0.0003,0.004,0.008,0.009,1.0,2455010.142,0,0,0,0,102.91,0.38059
293.81619,38.563568,16.07,0,1,52.0,353.8584,0.3063,0.3928,340.5,13.6,0.458,2.0038,21724.6,77.9,89.66,643.0,5710.0,4.492,-0.1,0.905,0.928,0.0,-0.225,-0.56,-0.0108,-0.0133,0.656,0.634,0.913,1.0,2455014.882,0,0,0,0,40.39,23.21659
285.92001,39.624828,16.307,0,1,40.0,75.6448,0.1475,0.4341,76.8,7.61,0.934,2.9315,4523.6,49.31,88.92,511.0,5509.0,4.482,-0.16,0.871,0.84,0.13,0.24,-0.2,-0.0012,-0.0001,0.074,0.004,0.074,1.0,2455005.633,0,0,0,0,16.1,1.86832
295.11371,40.071171,15.662,0,1,227.0,135.01852,0.9095,0.2852,296.9,30.09,1.28,35.512,2450.6,1.354,19.01,1155.0,6463.0,4.5,-1.66,0.826,0.786,0.029,-0.05,0.06,-9e-05,0.00051,0.007,-0.098,0.098,1.0,2455006.646,0,0,0,0,421.08,0.00218
293.00797,42.307201,16.343,0,1,6.0,311.33582,0.637,0.7032,271.8,10.59,0.778,8.2284,20714.6,184.83,89.76,188.0,4245.0,4.627,0.12,0.657,0.666,0.0,0.148,0.059,-0.0041,0.0,0.051,-0.022,0.056,1.0,2455041.4,0,0,0,0,0.29,2.14449
293.17929,41.969238,15.804,0,1,34.0,505.17914,0.255,0.3447,561.1,14.21,0.881,7.3051,15178.9,29.734,88.3,552.0,6122.0,4.487,-0.18,0.964,1.041,0.0,0.015,0.005,-0.0049,0.0017,0.119,-0.07,0.138,1.0,2455005.855,0,0,0,0,21.87,0.31474
