ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
291.93423,48.141651,15.89,1,2,142.0,28.47082,0.6864,0.4603,35.8,2.26,0.146,2.9575,615.8,24.81,89.66,793.0,5455.0,4.467,0.14,0.927,0.919,0.002,0.43,0.94,-0.0002,-0.00055,-0.01,0.2,0.2,1.0,2455003.539,0,0,0,0,93.59,3.20796
291.93423,48.141651,15.89,1,2,25.0,20.109507,0.0023,0.4603,25.8,2.83,0.586,4.507,874.8,77.9,89.57,443.0,5455.0,4.467,0.14,0.927,0.919,0.003,-0.63,1.23,0.00066,-0.00105,0.39,0.0,0.39,2.0,2454995.514,0,0,0,0,9.11,3.02368
285.53461,48.28521,16.1,-1,1,621.0,541.8951,0.0,0.3556,505.6,33.46,1.276,2.40641,8079.2,3.278,67.09,1395.0,5805.0,4.564,-0.52,0.791,0.836,0.0,-0.111,0.002,0.00302,-0.00142,-0.249,0.147,0.289,1.0,2455003.308,0,1,0,0,891.96,0.2208
288.75488,48.2262,16.015,1,1,515.0,33.1919,0.309,0.3661,40.9,2.75,0.701,1.6545,603.3,8.75,85.41,1406.0,6031.0,4.438,0.07,1.046,1.095,0.733,-0.01,0.23,8e-05,-7e-05,0.03,-0.09,0.1,1.0,2455004.596,0,0,0,0,926.16,1.98635
296.28613,48.22467,16.234,1,3,95.0,55.204865,0.0975,0.3511,66.5,3.9,0.538,4.5945,1517.5,16.36,88.11,835.0,6046.0,4.486,-0.08,0.972,1.053,,-0.12,0.14,4e-05,,0.04,-0.07,0.08,1.0,2455004.201,0,0,0,0,114.81,0.67324
296.28613,48.22467,16.234,1,3,240.0,33.546658,0.546,0.3511,40.2,2.77,0.762,3.1402,686.0,6.96,83.72,1160.0,6046.0,4.486,-0.08,0.972,1.053,,0.14,-0.32,-0.00016,,0.25,0.09,0.26,2.0,2455005.979,0,0,0,0,427.65,0.37377
296.28613,48.22467,16.234,1,3,355.0,12.325094,0.4352,0.3511,15.0,1.59,0.755,2.429,226.5,5.54,82.17,1360.0,6046.0,4.486,-0.08,0.972,1.053,,0.1,0.3,-4e-05,,-0.33,-0.3,0.45,3.0,2455012.554,0,0,0,0,807.74,0.48909
298.86435,42.151569,12.999,-1,1,185.0,46.15308,0.7213,0.3201,47.7,39.21,1.169,5.022,233.7,2.4,60.92,1342.0,6227.0,3.986,0.0,1.958,1.358,0.0,-13.45,24.09,0.003032,-0.005549,-4.506,7.71,8.93,1.0,2454965.251,0,1,1,0,767.22,0.00485
286.99948,48.37579,16.559,1,3,69.0,137.44981,0.1819,0.582,161.9,5.76,0.052,3.5347,4914.3,36.85,89.92,600.0,5031.0,4.485,0.16,0.848,0.801,0.063,0.033,-0.044,0.00026,0.00049,0.041,-0.015,0.044,1.0,2455006.622,0,0,0,0,30.75,3.6659
286.80847,49.316399,11.736,1,1,432.0,6468.04,0.1522,0.3928,4304.3,13.04,0.818,1.74319,14230.9,8.3977,84.41,1339.0,5820.0,4.457,-0.06,0.964,0.971,0.0,-0.0232,0.1066,-0.00012,0.00078,-0.009,-0.3,0.3,1.0,2454955.763,0,0,0,0,761.46,1.83538
292.24728,47.969521,10.935,1,1,611.0,3862.1846,0.0,0.2958,5945.9,16.1,0.224,3.88864,6674.7,4.602,87.21,2048.0,6440.0,4.019,0.14,1.952,1.449,,0.3986,-0.7585,-0.001754,,2.22,-3.29,3.97,1.0,2454954.359,0,1,0,0,4148.92,0.37936
281.28812,42.45108,13.886,1,1,384.0,1725.5824,0.6662,0.3201,1741.5,14.59,0.631,3.19843,9145.7,7.541,85.2,1521.0,6225.0,4.169,-0.04,1.451,1.132,0.0,-0.5515,-0.0597,1e-05,0.00036,0.014,-0.013,0.02,1.0,2454954.119,0,0,0,0,1264.67,0.65374
295.64871,48.49556,13.169,1,2,352.0,41.28873,0.605,0.4035,50.6,1.16,0.051,2.6302,131.1,10.888,89.73,1206.0,5833.0,4.407,-0.04,1.022,0.974,0.009,0.36,0.45,-4.6e-05,-5e-05,0.24,-0.15,0.29,2.0,2454966.983,0,0,0,0,500.46,1.77451
297.07993,47.597401,15.994,-1,1,96.0,628.3708,0.154,0.3858,622.1,150.51,2.483,3.6399,17984.3,20.75,83.13,753.0,5795.0,4.554,-0.2,0.848,0.938,0.895,0.068,-0.038,0.0,0.0001,0.009,-0.009,0.013,1.0,2455003.84,0,1,0,0,75.88,1.27376
289.25821,47.635319,16.229,-1,1,71.0,320.90817,0.806,0.5172,214.7,7.18,0.804,12.2155,8918.7,9.099,84.93,523.0,5043.0,4.591,-0.54,0.68,0.657,0.048,0.038,-0.005,-0.00038,-0.0002,-0.001,0.009,0.009,1.0,2455005.484,0,1,0,0,17.69,0.03785
295.81454,47.69035,15.798,-1,2,55.0,2174.4263,0.0003,0.3447,2317.0,49.29,1.065,4.79843,74284.0,31.323,88.05,698.0,6117.0,4.496,-0.22,0.947,1.025,0.0,-0.1235,-0.2667,-0.0005,-0.002,0.003,0.005,0.006,1.0,2455017.552,0,1,0,0,55.97,1.57359
